bug: c2x in ap_escape_errorlog_item, pair: (c2x, strlen), support: 3, confidence: 75.00%
bug: apr_hash_next in apr_hash_first, pair: (apr_hash_first, apr_hash_next), support: 6, confidence: 75.00%
bug: apr_fnmatch in find_desc, pair: (apr_array_push, apr_fnmatch), support: 5, confidence: 71.43%
bug: ap_cfg_closefile in process_command_config, pair: (ap_cfg_closefile, ap_make_full_path), support: 2, confidence: 66.67%
bug: ap_cfg_closefile in process_resource_config_nofnmatch, pair: (ap_cfg_closefile, ap_make_full_path), support: 2, confidence: 66.67%
bug: apr_md5_final in ap_md5contextTo64, pair: (apr_md5_final, apr_md5_init), support: 3, confidence: 75.00%
bug: apr_md5_init in ap_md5digest, pair: (apr_md5_final, apr_md5_init), support: 3, confidence: 75.00%
bug: write_page in makroom, pair: (apu__sdbm_delpair, write_page), support: 2, confidence: 66.67%
bug: free_container in reslist_maint, pair: (free_container, pop_resource), support: 2, confidence: 66.67%
bug: ap_process_request_internal in ap_sub_req_lookup_file, pair: (ap_os_escape_path, ap_process_request_internal), support: 2, confidence: 66.67%
bug: ap_process_request_internal in ap_sub_req_method_uri, pair: (ap_os_escape_path, ap_process_request_internal), support: 2, confidence: 66.67%
bug: destroy_resource in reslist_cleanup, pair: (apr_time_now, destroy_resource), support: 2, confidence: 66.67%
bug: apr_array_push in ap_add_file_conf, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in ap_add_per_dir_conf, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in ap_add_per_url_conf, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in ap_copy_method_list, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in ap_directory_walk, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in ap_file_walk, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_make in ap_init_virtual_host, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_push in ap_location_walk, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_make in ap_make_method_list, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_push in ap_method_list_add, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in apr_xml_insert_uri, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_make in apr_xml_parser_create, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_make in create_core_dir_config, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_make in create_core_server_config, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_make in prep_walk_cache, pair: (apr_array_make, apr_array_push), support: 40, confidence: 86.96%
bug: apr_array_push in set_server_alias, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: apr_array_push in sort_hook, pair: (apr_array_make, apr_array_push), support: 40, confidence: 80.00%
bug: ntohs in apr_getservbyname, pair: (__errno_location, ntohs), support: 4, confidence: 66.67%
bug: ntohs in apr_os_sock_make, pair: (__errno_location, ntohs), support: 4, confidence: 66.67%
bug: make_sub_request in ap_sub_req_method_uri, pair: (apr_pstrdup, make_sub_request), support: 2, confidence: 66.67%
bug: find_default_item in output_directories, pair: (find_default_item, find_desc), support: 2, confidence: 66.67%
bug: ap_update_child_status_from_indexes in ap_update_child_status, pair: (ap_log_error, ap_update_child_status_from_indexes), support: 2, confidence: 66.67%
bug: apr_fnmatch_test in add_desc, pair: (apr_fnmatch_test, apr_pstrcat), support: 4, confidence: 80.00%
bug: ms_release_conn in mc_version_ping, pair: (ms_release_conn, strncmp), support: 6, confidence: 66.67%
bug: ms_release_conn in mget_conn_result, pair: (ms_release_conn, strncmp), support: 6, confidence: 66.67%
bug: ap_ssi_parse_string in handle_flastmod, pair: (ap_ssi_parse_string, strcmp), support: 5, confidence: 71.43%
bug: ap_ssi_parse_string in handle_fsize, pair: (ap_ssi_parse_string, strcmp), support: 5, confidence: 71.43%
bug: apr_file_flush_locked in apr_file_info_get_locked, pair: (apr_file_flush_locked, apr_thread_mutex_unlock), support: 7, confidence: 70.00%
bug: apr_file_flush_locked in file_read_buffered, pair: (apr_file_flush_locked, apr_thread_mutex_unlock), support: 7, confidence: 70.00%
bug: qsort in ap_core_reorder_directories, pair: (apr_dir_close, qsort), support: 4, confidence: 66.67%
bug: apr_dir_close in apr_match_glob, pair: (apr_dir_close, qsort), support: 4, confidence: 80.00%
bug: qsort in prepare, pair: (apr_dir_close, qsort), support: 4, confidence: 66.67%
bug: apr_pool_parent_get in ap_open_logs, pair: (apr_atomic_read32, apr_pool_parent_get), support: 3, confidence: 75.00%
bug: close in cb_cleanup, pair: (__errno_location, close), support: 5, confidence: 71.43%
bug: close in impl_pollset_cleanup, pair: (__errno_location, close), support: 5, confidence: 71.43%
bug: apr_strftime in log_request_time_custom, pair: (apr_strftime, apr_time_exp_lt), support: 2, confidence: 66.67%
bug: apr_strftime in output_directories, pair: (apr_strftime, apr_time_exp_lt), support: 2, confidence: 66.67%
bug: ap_ssi_get_tag_and_value in handle_elif, pair: (ap_ssi_get_tag_and_value, ap_ssi_parse_string), support: 6, confidence: 75.00%
bug: ap_ssi_get_tag_and_value in handle_if, pair: (ap_ssi_get_tag_and_value, ap_ssi_parse_string), support: 6, confidence: 75.00%
bug: ap_ssi_parse_string in parse_expr, pair: (ap_ssi_get_tag_and_value, ap_ssi_parse_string), support: 6, confidence: 85.71%
bug: destroy_resource in reslist_cleanup, pair: (create_resource, destroy_resource), support: 2, confidence: 66.67%
bug: destroy_resource in reslist_maint, pair: (create_resource, destroy_resource), support: 2, confidence: 66.67%
bug: apr_array_push_noclear in apr_table_add, pair: (apr_array_push_noclear, strcasecmp), support: 4, confidence: 66.67%
bug: apr_array_push_noclear in apr_table_addn, pair: (apr_array_push_noclear, strcasecmp), support: 4, confidence: 66.67%
bug: apr_table_mergen in ap_set_keepalive, pair: (apr_table_mergen, strcmp), support: 2, confidence: 66.67%
bug: get_entry in do_header_line, pair: (get_entry, strchr), support: 2, confidence: 66.67%
bug: ap_create_per_dir_config in ap_init_virtual_host, pair: (ap_create_per_dir_config, strcmp), support: 4, confidence: 80.00%
bug: ap_ssi_get_tag_and_value in handle_flastmod, pair: (ap_ssi_get_tag_and_value, strcmp), support: 6, confidence: 75.00%
bug: ap_ssi_get_tag_and_value in handle_fsize, pair: (ap_ssi_get_tag_and_value, strcmp), support: 6, confidence: 75.00%
bug: ap_cfg_getline in ap_soak_end_container, pair: (ap_build_config_sub, ap_cfg_getline), support: 2, confidence: 66.67%
bug: ap_update_child_status in child_main, pair: (ap_update_child_status, apr_socket_close), support: 2, confidence: 66.67%
bug: prep_walk_cache in ap_file_walk, pair: (prep_walk_cache, strlen), support: 2, confidence: 66.67%
bug: write_page in makroom, pair: (apr_sdbm_unlock, write_page), support: 2, confidence: 66.67%
bug: apr_terminate in apr_terminate2, pair: (apr_terminate, exit), support: 2, confidence: 66.67%
bug: ap_make_full_path in ap_sub_req_method_uri, pair: (ap_make_full_path, apr_pstrdup), support: 6, confidence: 85.71%
bug: find_item in find_default_item, pair: (find_item, strlen), support: 2, confidence: 66.67%
bug: apr_hook_debug_show in ap_hook_default_port, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_http_scheme, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_log_transaction, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.50%
bug: apr_hook_debug_show in ap_hook_post_read_request, pair: (apr_hook_debug_show, apr_hook_sort_register), support: 28, confidence: 87.50%
bug: ms_find_conn in apr_memcache_multgetp, pair: (ms_bad_conn, ms_find_conn), support: 7, confidence: 87.50%
bug: ms_bad_conn in mget_conn_result, pair: (ms_bad_conn, ms_find_conn), support: 7, confidence: 87.50%
bug: sigaction in apr_signal, pair: (__errno_location, sigaction), support: 2, confidence: 66.67%
bug: ap_soak_end_container in ap_soak_end_container, pair: (ap_soak_end_container, apr_pstrndup), support: 2, confidence: 66.67%
bug: apr_socket_sendv in apr_socket_sendfile, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 72.73%
bug: apr_socket_sendv in conn_clean, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 72.73%
bug: ms_release_conn in mget_conn_result, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 88.89%
bug: apr_socket_sendv in writev_it_all, pair: (apr_socket_sendv, ms_release_conn), support: 8, confidence: 72.73%
bug: ap_cfg_getline in ap_build_config, pair: (ap_cfg_getline, apr_pstrcat), support: 2, confidence: 66.67%
bug: ms_find_conn in mc_version_ping, pair: (ms_find_conn, strncmp), support: 6, confidence: 75.00%
bug: shmget in apr_shm_remove, pair: (apr_palloc, shmget), support: 2, confidence: 66.67%
bug: apr_md5_final in ap_md5contextTo64, pair: (apr_md5_final, apr_md5_update), support: 3, confidence: 75.00%
bug: apu__sdbm_hash in apu__sdbm_splpage, pair: (apu__sdbm_hash, getpage), support: 3, confidence: 75.00%
bug: ap_update_child_status_from_indexes in ap_update_child_status, pair: (__errno_location, ap_update_child_status_from_indexes), support: 2, confidence: 66.67%
